name,state_code
Ashkāsham,BDS
Fayzabad,BDS
Jurm,BDS
Khandūd,BDS
Rāghistān,BDS
Wākhān,BDS
Ghormach,BDG
Qala i Naw,BDG
Baghlān,BGL
Ḩukūmatī Dahanah-ye Ghōrī,BGL
Nahrīn,BGL
Pul-e Khumrī,BGL
Balkh,BAL
Dowlatābād,BAL
Khulm,BAL
Lab-Sar,BAL
Mazār-e Sharīf,BAL
Qarchī Gak,BAL
Bāmyān,BAM
Panjāb,BAM
Nīlī,DAY
Farah,FRA
Andkhoy,FYB
Maymana,FYB
Ghazni,GHA
Fayrōz Kōh,GHO
Shahrak,GHO
‘Alāqahdārī Dīshū,HEL
Gereshk,HEL
Lashkar Gāh,HEL
Markaz-e Ḩukūmat-e Darwēshān,HEL
Sangīn,HEL
Chahār Burj,HER
Ghōriyān,HER
Herāt,HER
Kafir Qala,HER
Karukh,HER
Kuhsān,HER
Kushk,HER
Qarah Bāgh,HER
Shīnḏanḏ,HER
Tīr Pul,HER
Zindah Jān,HER
Āqchah,JOW
Darzāb,JOW
Qarqīn,JOW
Shibirghān,JOW
Kabul,KAB
Mīr Bachah Kōṯ,KAB
Paghmān,KAB
Kandahār,KAN
Sidqābād,KAP
Khōst,KHO
Asadabad,KNR
Āsmār,KNR
Dasht-e Archī,KDZ
Imām Şāḩib,KDZ
Khanabad,KDZ
Kunduz,KDZ
Qarāwul,KDZ
Mehtar Lām,LAG
Baraki Barak,LOG
Ḩukūmatī Azrah,LOG
Pul-e ‘Alam,LOG
Bāsawul,NAN
Jalālābād,NAN
Markaz-e Woluswalī-ye Āchīn,NAN
Khāsh,NIM
Mīrābād,NIM
Rūdbār,NIM
Zaranj,NIM
Pārūn,NUR
Gardez,PIA
Saṟōbī,PKA
Zaṟah Sharan,PKA
Zarghūn Shahr,PKA
Bāzārak,PAN
Charikar,PAR
Jabal os Saraj,PAR
Aībak,SAM
Chīras,SAR
Larkird,SAR
Qal‘ah-ye Shahr,SAR
Sang-e Chārak,SAR
Sar-e Pul,SAR
Tagāw-Bāy,SAR
Tukzār,SAR
Ārt Khwājah,TAK
Taloqan,TAK
Tarinkot,URU
Uruzgān,URU
Qalāt,ZAB
Banaj,BR
Bashkia Berat,BR
Bashkia Kuçovë,BR
Bashkia Poliçan,BR
Bashkia Skrapar,BR
Berat,BR
Çorovodë,BR
Kuçovë,BR
Poliçan,BR
Rrethi i Beratit,BR
Rrethi i Kuçovës,BR
Rrethi i Skraparit,BR
Ura Vajgurore,BR
Bashkia Bulqizë,9
Bashkia Klos,9
Bashkia Mat,9
Bulqizë,9
Burrel,9
Klos,9
Peshkopi,9
Rrethi i Bulqizës,9
Rrethi i Dibrës,9
Rrethi i Matit,9
Ulëz,9
Bashkia Durrës,DR
Bashkia Krujë,DR
Bashkia Shijak,DR
Durrës,DR
Durrës District,DR
Fushë-Krujë,DR
Krujë,DR
Rrethi i Krujës,DR
Shijak,DR
Sukth,DR
Ballsh,4
Bashkia Divjakë,4
Bashkia Fier,4
Bashkia Mallakastër,4
Bashkia Patos,4
Divjakë,4
Fier,4
Fier-Çifçi,4
Lushnjë,4
Patos,4
Patos Fshat,4
Roskovec,4
Rrethi i Mallakastrës,4
Bashkia Dropull,GJ
Bashkia Kelcyrë,GJ
Bashkia Libohovë,GJ
Bashkia Memaliaj,GJ
Bashkia Përmet,GJ
Bashkia Tepelenë,GJ
Gjinkar,GJ
Gjirokastër,GJ
Këlcyrë,GJ
Lazarat,GJ
Libohovë,GJ
Memaliaj,GJ
Përmet,GJ
Tepelenë,GJ
Bashkia Devoll,6
Bashkia Kolonjë,6
Bashkia Maliq,6
Bashkia Pustec,6
Bilisht,6
Ersekë,6
Korçë,6
Leskovik,6
Libonik,6
Maliq,6
Mborje,6
Pogradec,6
Rrethi i Devollit,6
Rrethi i Kolonjës,6
Velçan,6
Voskopojë,6
Bajram Curri,KU
Krumë,KU
Kukës,KU
Rrethi i Hasit,KU
Rrethi i Kukësit,KU
Bashkia Kurbin,8
Bashkia Lezhë,8
Bashkia Mirditë,8
Kurbnesh,8
Laç,8
Lezhë,8
Mamurras,8
Milot,8
Rrëshen,8
Rrethi i Kurbinit,8
Rubik,8
Shëngjin,8
Bashkia Malësi e Madhe,SH
Bashkia Pukë,SH
Bashkia Vau i Dejës,SH
Fushë-Arrëz,SH
Koplik,SH
Pukë,SH
Rrethi i Malësia e Madhe,SH
Rrethi i Shkodrës,SH
Shkodër,SH
Vau i Dejës,SH
Vukatanë,SH
Bashkia Kavajë,TR
Bashkia Vorë,TR
Kamëz,TR
Kavajë,TR
Krrabë,TR
Rrethi i Kavajës,TR
Rrethi i Tiranës,TR
Rrogozhinë,TR
Sinaballaj,TR
Tirana,TR
Vorë,TR
Bashkia Finiq,12
Bashkia Himarë,12
Bashkia Konispol,12
Bashkia Selenicë,12
Bashkia Vlorë,12
Delvinë,12
Himarë,12
Konispol,12
Ksamil,12
Orikum,12
Rrethi i Delvinës,12
Sarandë,12
Selenicë,12
Vlorë,12
Adrar,1
Aoulef,1
Reggane,1
Timimoun,1
Aïn Defla,44
El Abadia,44
El Attaf,44
Khemis Miliana,44
Theniet el Had,44
Aïn Temouchent,46
Beni Saf,46
El Amria,46
El Malah,46
Hammam Bou Hadjar,46
Aïn Taya,16
Algiers,16
Bab Ezzouar,16
Birkhadem,16
Bordj el Kiffan,16
Dar el Beïda,16
Rouiba,16
Annaba,23
Berrahal,23
Drean,23
El Hadjar,23
Aïn Touta,5
Arris,5
Barika,5
Batna,5
Boumagueur,5
Merouana,5
Râs el Aïoun,5
Tazoult-Lambese,5
Béchar,8
Akbou,6
Amizour,6
Barbacha,6
Bejaïa,6
el hed,6
El Kseur,6
Feraoun,6
Seddouk,6
Biskra,7
Oumache,7
Sidi Khaled,7
Sidi Okba,7
Tolga,7
Zeribet el Oued,7
Beni Mered,9
Blida,9
Boû Arfa,9
Boufarik,9
Bougara,9
Bouinan,9
Chebli,9
Chiffa,9
Larbaâ,9
Meftah,9
Sidi Moussa,9
Souma,9
Bordj Bou Arreridj,34
Bordj Ghdir,34
Bordj Zemoura,34
El Achir,34
Mansourah,34
Melouza,34
Râs el Oued,34
